Using torch device NVIDIA GeForce RTX 3090
traj-level training without hmm
Net has 37803 parameters
Round 0
Generated trajectories in 75.6 seconds
/home/sca63/.conda/envs/gcsl/lib/python3.9/site-packages/torch/nn/modules/conv.py:443: UserWarning: Using padding='same' with even kernel lengths and odd dilation may require a zero-padded copy of the input be created (Triggered internally at  ../aten/src/ATen/native/Convolution.cpp:680.)
  return F.conv2d(input, weight, bias, self.stride,
epoch: 0	train loss: 3659.4423828125	(17s)
epoch: 1	train loss: 3659.236328125	(14s)
epoch: 2	train loss: 3657.978271484375	(14s)
epoch: 3	train loss: 3629.8154296875	(14s)
epoch: 4	train loss: 3279.288330078125	(14s)
epoch: 5	train loss: 3119.519775390625	(14s)
epoch: 6	train loss: 3022.44287109375	(14s)
epoch: 7	train loss: 2971.253173828125	(14s)
epoch: 8	train loss: 2908.8427734375	(14s)
epoch: 9	train loss: 2795.824462890625	(14s)
epoch: 10	train loss: 2701.80615234375	(14s)
epoch: 11	train loss: 2649.389404296875	(14s)
epoch: 12	train loss: 2613.595947265625	(14s)
epoch: 13	train loss: 2583.702392578125	(14s)
epoch: 14	train loss: 2558.25146484375	(14s)
epoch: 15	train loss: 2536.525390625	(14s)
epoch: 16	train loss: 2516.200927734375	(14s)
epoch: 17	train loss: 2493.56787109375	(14s)
epoch: 18	train loss: 2473.326416015625	(14s)
epoch: 19	train loss: 2453.07763671875	(14s)
epoch: 20	train loss: 2434.5283203125	(14s)
epoch: 21	train loss: 2417.25439453125	(14s)
epoch: 22	train loss: 2400.837890625	(14s)
epoch: 23	train loss: 2385.409423828125	(14s)
epoch: 24	train loss: 2370.92333984375	(14s)
epoch: 25	train loss: 2360.001708984375	(14s)
epoch: 26	train loss: 2348.77099609375	(14s)
epoch: 27	train loss: 2338.249755859375	(14s)
epoch: 28	train loss: 2328.816162109375	(14s)
epoch: 29	train loss: 2318.477783203125	(14s)
epoch: 30	train loss: 2309.751708984375	(14s)
epoch: 31	train loss: 2297.791259765625	(14s)
epoch: 32	train loss: 2289.74609375	(14s)
epoch: 33	train loss: 2281.538818359375	(14s)
epoch: 34	train loss: 2273.343017578125	(14s)
epoch: 35	train loss: 2266.740966796875	(14s)
epoch: 36	train loss: 2258.894287109375	(14s)
epoch: 37	train loss: 2252.77294921875	(14s)
epoch: 38	train loss: 2246.385986328125	(14s)
epoch: 39	train loss: 2240.637451171875	(14s)
epoch: 40	train loss: 2235.3916015625	(14s)
epoch: 41	train loss: 2229.663330078125	(14s)
epoch: 42	train loss: 2224.076171875	(14s)
epoch: 43	train loss: 2219.41845703125	(14s)
epoch: 44	train loss: 2212.77978515625	(14s)
epoch: 45	train loss: 2207.426513671875	(14s)
epoch: 46	train loss: 2201.072998046875	(14s)
epoch: 47	train loss: 2192.76708984375	(14s)
epoch: 48	train loss: 2188.335693359375	(14s)
epoch: 49	train loss: 2181.640625	(14s)
epoch: 50	train loss: 2176.902587890625	(14s)
epoch: 51	train loss: 2166.54345703125	(14s)
epoch: 52	train loss: 2160.400146484375	(14s)
epoch: 53	train loss: 2155.0517578125	(14s)
epoch: 54	train loss: 2148.519775390625	(14s)
epoch: 55	train loss: 2142.58251953125	(14s)
epoch: 56	train loss: 2132.664794921875	(14s)
epoch: 57	train loss: 2125.819091796875	(14s)
epoch: 58	train loss: 2119.206787109375	(14s)
epoch: 59	train loss: 2108.6669921875	(14s)
epoch: 60	train loss: 2103.337890625	(14s)
epoch: 61	train loss: 2096.127197265625	(14s)
epoch: 62	train loss: 2089.7939453125	(14s)
epoch: 63	train loss: 2086.841552734375	(14s)
epoch: 64	train loss: 2079.158935546875	(14s)
epoch: 65	train loss: 2071.187744140625	(14s)
epoch: 66	train loss: 2066.2568359375	(14s)
epoch: 67	train loss: 2062.6015625	(14s)
