Training on NVIDIA GeForce RTX 3090
Net has 25724 parameters
Round 1
generating trajectories
trajectories generated
Generated trajectories in 119.3 seconds
188250 examples
epoch: 0	train loss: 1.1788322925567627	acc: 0.369	(6.2s)
epoch: 1	train loss: 1.2914271354675293	acc: 0.430	(5.6s)
epoch: 2	train loss: 1.1639727354049683	acc: 0.472	(5.6s)
epoch: 3	train loss: 1.0215545892715454	acc: 0.526	(5.6s)
epoch: 4	train loss: 1.055199384689331	acc: 0.550	(5.6s)
epoch: 5	train loss: 1.1081030368804932	acc: 0.571	(5.6s)
epoch: 6	train loss: 0.8546562194824219	acc: 0.591	(5.6s)
epoch: 7	train loss: 0.9607115983963013	acc: 0.608	(5.6s)
epoch: 8	train loss: 0.9139464497566223	acc: 0.623	(5.6s)
epoch: 9	train loss: 0.8065498471260071	acc: 0.636	(5.6s)
epoch: 10	train loss: 0.8159997463226318	acc: 0.649	(5.6s)
epoch: 11	train loss: 0.7774883508682251	acc: 0.662	(5.6s)
epoch: 12	train loss: 0.8392113447189331	acc: 0.673	(5.6s)
epoch: 13	train loss: 0.801863431930542	acc: 0.684	(5.6s)
epoch: 14	train loss: 0.6092351078987122	acc: 0.694	(5.7s)
epoch: 15	train loss: 0.7152756452560425	acc: 0.702	(5.7s)
epoch: 16	train loss: 0.7198278903961182	acc: 0.711	(5.6s)
epoch: 17	train loss: 0.6507431268692017	acc: 0.718	(5.6s)
epoch: 18	train loss: 0.7017038464546204	acc: 0.725	(5.6s)
epoch: 19	train loss: 0.6471255421638489	acc: 0.731	(5.6s)
epoch: 20	train loss: 0.6289921402931213	acc: 0.738	(5.6s)
epoch: 21	train loss: 0.6381340026855469	acc: 0.742	(5.6s)
epoch: 22	train loss: 0.6386830806732178	acc: 0.748	(5.6s)
epoch: 23	train loss: 0.7105042338371277	acc: 0.754	(5.6s)
epoch: 24	train loss: 0.7112399339675903	acc: 0.758	(5.7s)
epoch: 25	train loss: 0.6982284784317017	acc: 0.760	(5.7s)
epoch: 26	train loss: 0.562773585319519	acc: 0.765	(5.7s)
epoch: 27	train loss: 0.5974636673927307	acc: 0.768	(5.7s)
epoch: 28	train loss: 0.41366007924079895	acc: 0.772	(5.6s)
epoch: 29	train loss: 0.5187740325927734	acc: 0.775	(5.6s)
