Training on NVIDIA TITAN Xp
Net has 25724 parameters
Round 1
generating trajectories
trajectories generated
Generated trajectories in 191.2 seconds
187731 examples
epoch: 0	train loss: 1.295340895652771	acc: 0.353	(9.7s)
epoch: 1	train loss: 1.1384360790252686	acc: 0.441	(8.9s)
epoch: 2	train loss: 1.0528309345245361	acc: 0.516	(8.8s)
epoch: 3	train loss: 0.9916437268257141	acc: 0.561	(8.4s)
epoch: 4	train loss: 0.8377916216850281	acc: 0.604	(8.3s)
epoch: 5	train loss: 0.6964630484580994	acc: 0.644	(8.3s)
epoch: 6	train loss: 0.6894631385803223	acc: 0.672	(8.3s)
epoch: 7	train loss: 0.7084985375404358	acc: 0.692	(8.5s)
epoch: 8	train loss: 0.6984262466430664	acc: 0.706	(8.4s)
epoch: 9	train loss: 0.6559953093528748	acc: 0.718	(8.3s)
epoch: 10	train loss: 0.7641907930374146	acc: 0.727	(8.3s)
epoch: 11	train loss: 0.5717433094978333	acc: 0.735	(8.3s)
epoch: 12	train loss: 0.6970043778419495	acc: 0.743	(8.3s)
epoch: 13	train loss: 0.7320848107337952	acc: 0.749	(8.5s)
epoch: 14	train loss: 0.7318664789199829	acc: 0.755	(8.6s)
epoch: 15	train loss: 0.6090992093086243	acc: 0.759	(8.4s)
epoch: 16	train loss: 0.629939079284668	acc: 0.764	(8.4s)
epoch: 17	train loss: 0.6950871348381042	acc: 0.768	(8.4s)
epoch: 18	train loss: 0.6665362119674683	acc: 0.773	(8.3s)
epoch: 19	train loss: 0.5948458909988403	acc: 0.775	(8.4s)
epoch: 20	train loss: 0.6111578345298767	acc: 0.778	(8.5s)
epoch: 21	train loss: 0.6368166208267212	acc: 0.781	(8.4s)
epoch: 22	train loss: 0.5679874420166016	acc: 0.784	(8.5s)
epoch: 23	train loss: 0.5512738227844238	acc: 0.787	(8.5s)
epoch: 24	train loss: 0.6200339794158936	acc: 0.789	(8.4s)
epoch: 25	train loss: 0.4769609272480011	acc: 0.791	(8.3s)
epoch: 26	train loss: 0.6370720267295837	acc: 0.793	(8.6s)
epoch: 27	train loss: 0.4406641721725464	acc: 0.796	(8.6s)
epoch: 28	train loss: 0.5406912565231323	acc: 0.797	(8.4s)
epoch: 29	train loss: 0.5803336501121521	acc: 0.799	(8.4s)
epoch: 30	train loss: 0.6008407473564148	acc: 0.802	(8.3s)
epoch: 31	train loss: 0.5389243364334106	acc: 0.803	(8.3s)
epoch: 32	train loss: 0.46082091331481934	acc: 0.805	(8.5s)
epoch: 33	train loss: 0.5179231762886047	acc: 0.807	(8.6s)
epoch: 34	train loss: 0.4107505679130554	acc: 0.807	(8.5s)
epoch: 35	train loss: 0.4883318543434143	acc: 0.809	(8.4s)
epoch: 36	train loss: 0.38673052191734314	acc: 0.810	(8.4s)
epoch: 37	train loss: 0.4631301760673523	acc: 0.812	(8.5s)
epoch: 38	train loss: 0.5588173270225525	acc: 0.813	(8.5s)
epoch: 39	train loss: 0.4777073264122009	acc: 0.815	(8.5s)
epoch: 40	train loss: 0.34737807512283325	acc: 0.816	(8.5s)
epoch: 41	train loss: 0.4020375609397888	acc: 0.818	(8.4s)
epoch: 42	train loss: 0.4697854816913605	acc: 0.819	(8.4s)
epoch: 43	train loss: 0.6036166548728943	acc: 0.819	(8.5s)
epoch: 44	train loss: 0.5610494613647461	acc: 0.820	(8.3s)
epoch: 45	train loss: 0.39153000712394714	acc: 0.821	(8.5s)
epoch: 46	train loss: 0.4267255365848541	acc: 0.823	(8.5s)
epoch: 47	train loss: 0.5279832482337952	acc: 0.823	(8.4s)
epoch: 48	train loss: 0.411785364151001	acc: 0.825	(8.4s)
epoch: 49	train loss: 0.4102185368537903	acc: 0.825	(8.5s)
epoch: 50	train loss: 0.543956458568573	acc: 0.826	(8.4s)
epoch: 51	train loss: 0.42835161089897156	acc: 0.827	(8.4s)
epoch: 52	train loss: 0.5202330350875854	acc: 0.828	(8.7s)
epoch: 53	train loss: 0.43908044695854187	acc: 0.830	(8.5s)
epoch: 54	train loss: 0.4786940813064575	acc: 0.829	(8.5s)
epoch: 55	train loss: 0.49251192808151245	acc: 0.830	(8.5s)
epoch: 56	train loss: 0.3684510886669159	acc: 0.831	(8.4s)
epoch: 57	train loss: 0.3050884008407593	acc: 0.832	(8.6s)
epoch: 58	train loss: 0.5323904752731323	acc: 0.832	(8.6s)
epoch: 59	train loss: 0.43404483795166016	acc: 0.833	(8.6s)
epoch: 60	train loss: 0.4840660095214844	acc: 0.834	(8.4s)
epoch: 61	train loss: 0.327114999294281	acc: 0.835	(8.4s)
epoch: 62	train loss: 0.3810012638568878	acc: 0.836	(8.5s)
epoch: 63	train loss: 0.4427664279937744	acc: 0.836	(8.4s)
epoch: 64	train loss: 0.6153318285942078	acc: 0.838	(8.5s)
epoch: 65	train loss: 0.3520990312099457	acc: 0.836	(8.7s)
